Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
476,Garrett Temple,39,TOR,SG,10,0,29,3.3,0.291,0.667,0.333,0,15.5,7.7,12.3,5,3.4,30.4,14.5,-0.1,0.1,-0.1,-0.087,-8.9,3,-5.9,0,,templga01
477,Grant Williams,27,CHO,PF,2,0,27,19.1,0.559,0.923,0.231,17.2,24.6,21,0,0,0,0,22.3,0.1,0,0.1,0.148,4.1,-5.1,-1,0,,willigr01
478,Hunter Sallis,22,PHI,SG,7,0,26,2,0.595,0,0.4,0,4.3,2.1,21.1,0,3.5,46,17.6,-0.1,0,-0.1,-0.14,-7.6,-2.9,-10.5,-0.1,,sallihu01
479,Mark Sears,23,MIL,PG,7,0,26,15.2,0.666,0.615,0.615,4.4,4.3,4.4,12.2,0,0,19.5,34.8,0,0,0,0.024,2.2,-4.5,-2.3,0,,searsma01
480,Jahmai Mashack,23,MEM,SG,7,0,25,0.7,0.375,0.75,0,0,21,10.6,10.3,1.9,0,27.3,18.1,-0.1,0,-0.1,-0.141,-9.5,-0.8,-10.3,-0.1,,mashaja01
481,Orlando Robinson,25,ORL,C,4,1,25,14.7,0.7,0.4,0,8.8,8.8,8.8,16.2,1.9,0,0,8.4,0.1,0,0.1,0.196,0.6,0.6,1.2,0,,robinor01
482,Jahmir Young,25,MIA,PG,5,0,24,6.4,0.455,0.455,0,0,8.6,4.3,22.4,1.9,0,15.4,22,0,0,0,-0.04,-6.6,-1,-7.5,0,,youngja05
483,DeAndre Jordan,37,NOP,C,2,1,23,18.3,0.765,0,0.4,18.5,29.3,23.8,0,0,0,14.5,12.4,0.1,0,0.1,0.139,1.9,-2.7,-0.8,0,,jordade01
484,Curtis Jones,24,DEN,SG,5,0,22,-5.7,0.2,0.6,0,5.4,14.7,10.3,5.6,0,0,9.1,21.7,-0.1,0,-0.1,-0.283,-15.1,-8.8,-24,-0.1,,jonescu01
485,Ron Harper Jr.,25,BOS,SF,4,0,20,16.5,0.4,0.8,0,5.6,11.1,8.4,26.8,2.5,10.1,0,21.6,0,0,0.1,0.127,1.9,3,5,0,,harpero02
486,Brandon Clarke,29,MEM,PF,2,2,20,12.3,0.372,0,0.444,21.3,10.5,15.8,7.1,4.7,0,0,22.2,0,0,0,0.065,-4.7,0.5,-4.2,0,,clarkbr01
487,Isaac Jones,25,2TM,PF,4,1,18,7.3,0.512,0.5,0.5,12.1,0,6.2,7,0,0,0,11.4,0,0,0,0.074,-6.2,-2.2,-8.5,0,,jonesis01
487,Isaac Jones,25,SAC,PF,3,1,17,5.7,0.521,0.5,1,12.8,0,6.6,7.5,0,0,0,7.2,0,0,0,0.065,-6.5,-1.8,-8.2,0,,jonesis01
487,Isaac Jones,25,DET,PF,1,0,1,34.2,0.5,0.5,0,0,0,0,0,0,0,0,81.9,0,0,0,0.226,-2.4,-10,-12.5,0,,jonesis01
488,Jacob Toppin,25,ATL,SF,5,0,17,15,0.667,0,0,0,6.5,3.2,8.8,0,5.4,0,14.8,0,0,0,0.113,-0.3,0.2,0,0,,toppija01
489,Chris Livingston,22,CLE,SF,3,0,17,15.3,0.605,0.429,0.143,0,19.4,9.5,8.8,2.8,0,0,18.1,0,0,0.1,0.16,-4.8,2,-2.8,0,,livinch01
490,Drew Timme,25,LAL,PF,5,0,16,14.5,0.5,0.5,0,7.6,21.4,14.7,25.3,3,0,20,13.5,0,0,0,0.083,0.3,2.1,2.4,0,,timmedr01
491,N'Faly Dante,24,ATL,C,4,0,15,12.4,0.338,0,0.25,21.8,29.6,25.6,0,6.3,0,18.4,15.2,0,0,0,0.039,-3.9,-1.1,-5,0,,nfalyda01
492,Oscar Tshiebwe,26,UTA,C,1,0,15,7.3,0.225,0,0.25,14.3,29.5,21.8,8.4,3.1,0,0,12.2,0,0,0,-0.025,-4.1,-1.5,-5.6,0,,tshieos01
493,Chris Mañon,24,LAL,SG,4,0,14,7.3,0,1,0,8.7,16.3,12.6,0,3.5,13.5,0,3.1,0,0,0,0.069,-5.6,5.1,-0.5,0,,manonch01
494,Daeqwon Plowden,27,SAC,SG,1,0,14,-0.1,0.2,0.6,0,15.6,0,8,0,0,0,0,15.3,0,0,-0.1,-0.174,-7.1,-5.8,-12.9,0,,plowdda01
495,Chucky Hepburn,22,TOR,PG,2,0,13,-13.5,0,0.833,0,0,8.7,4.3,17.5,3.7,0,14.3,22.9,-0.1,0,-0.1,-0.436,-21.1,-3,-24.2,-0.1,,hepbuch01
496,Harrison Ingram,23,SAS,SF,3,0,11,20.5,0.833,0.333,0,29.4,0,14.6,0,0,0,0,11.5,0.1,0,0.1,0.279,7.6,-2.5,5.1,0,,ingraha01
497,Sharife Cooper,24,WAS,PG,4,0,10,-9.7,0,1,0,0,0,0,0,0,0,50,8.4,0,0,-0.1,-0.268,-14.1,-5.5,-19.6,0,,coopesh01
498,Moritz Wagner,28,ORL,C,1,0,10,19.7,0.508,0.286,0.286,0,22.1,11,35.8,0,0,0,33.1,0,0,0,0.155,-3.8,-1.1,-4.9,0,,wagnemo01
499,Tosan Evbuomwan,24,NYK,SF,5,0,8,-0.3,0,0,0,13.3,14.1,13.7,0,0,0,0,5.2,0,0,0,-0.04,-8.3,-3.3,-11.7,0,,evbuoto01
500,Riley Minix,25,SAS,SF,3,0,8,45.4,0.75,0.5,0,13.5,13.3,13.4,33.4,6,0,0,31.5,0.1,0,0.1,0.421,18,7.2,25.2,0.1,,minixri01
501,Koby Brea,23,PHO,SG,2,0,8,18.4,0.515,0.667,0.667,0,14.2,6.9,33.6,0,0,0,20.3,0,0,0,0.203,-0.6,-2.3,-2.9,0,,breako01
502,Colby Jones,23,DET,SG,1,0,7,13,0.333,0.667,0,0,62.7,31.6,38,0,0,0,17.6,0,0,0,0.124,-3.3,5.3,2.1,0,,jonesco02
503,Mo Bamba,27,TOR,C,2,0,6,-2.8,0,0,0,18.3,18.8,18.5,0,0,16.3,0,14.2,0,0,0,-0.159,-19,-2.7,-21.6,0,,bambamo01
504,Noa Essengue,19,CHI,PF,2,0,6,-12,0,0.667,0,0,0,0,0,7.9,0,0,20.9,-0.1,0,-0.1,-0.415,-20.8,-3.3,-24,0,,essenno01
505,Trentyn Flowers,20,CHI,SF,2,0,6,16.8,0.667,0.333,0,18.1,0,8.9,29.9,0,0,25,27.9,0,0,0,0.023,1.8,-3,-1.1,0,,flowetr01
506,Isaiah Crawford,24,HOU,SF,2,0,5,-7.4,0,1,0,0,0,0,0,0,0,0,8.3,0,0,0,-0.165,-10.6,-6.3,-16.9,0,,crawfis01
507,Hunter Dickinson,25,NOP,C,1,0,5,-11,0.5,0,0,0,0,0,0,0,19.4,50,33.2,-0.1,0,-0.1,-0.521,-26.7,0.6,-26,0,,dickihu01
508,Kobe Bufkin,22,LAL,SG,1,0,4,39.2,1.5,1,0,0,28.5,14.7,40.6,0,0,0,10.8,0,0,0,0.528,21.2,6.3,27.6,0,,bufkiko01
509,Vladislav Goldin,24,MIA,C,1,0,1,27.4,,,,0,0,0,100,0,0,,0,0,0,0,0.397,17.4,26.4,43.8,0,,goldivl01
,League Average,,,,,,,,0.581,0.414,0.269,5.2,14.8,10,16.2,1.7,1.9,12.3,19.9,,,,,,,,,,-9999
