Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
506.0,David Duke Jr.,25.0,SAS,SG,4.0,0.0,4.5,0.5,1.8,0.286,0.0,0.3,0.0,0.5,1.5,0.333,0.286,0.3,0.5,0.5,0.0,0.8,0.8,0.8,0.0,0.0,0.3,0.3,1.3,
507.0,Skal Labissière,28.0,SAC,PF,4.0,0.0,3.0,0.5,1.0,0.5,0.3,0.3,1.0,0.3,0.8,0.333,0.625,0.0,0.0,,0.3,0.5,0.8,0.3,0.0,0.0,0.0,0.3,1.3,
508.0,Bryce McGowens,22.0,POR,SG,10.0,0.0,2.3,0.4,0.8,0.5,0.0,0.3,0.0,0.4,0.5,0.8,0.5,0.5,0.6,0.833,0.1,0.0,0.1,0.1,0.1,0.0,0.3,0.2,1.3,
509.0,Yuki Kawamura,23.0,MEM,PG,20.0,0.0,3.2,0.4,1.1,0.364,0.2,0.8,0.25,0.2,0.3,0.667,0.455,0.2,0.3,0.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.2,
510.0,Chris Livingston,21.0,MIL,SF,14.0,1.0,4.9,0.4,1.1,0.4,0.0,0.4,0.0,0.4,0.7,0.6,0.4,0.4,0.6,0.625,0.5,1.1,1.6,0.1,0.4,0.0,0.4,0.4,1.2,
511.0,Sidy Cissoko,20.0,2TM,SF,20.0,0.0,3.0,0.5,0.9,0.5,0.2,0.4,0.429,0.3,0.6,0.545,0.583,0.1,0.3,0.167,0.2,0.4,0.6,0.3,0.1,0.0,0.2,0.4,1.1,
511.0,Sidy Cissoko,20.0,SAS,SF,17.0,0.0,3.2,0.5,1.1,0.5,0.2,0.4,0.429,0.4,0.6,0.545,0.583,0.1,0.4,0.167,0.2,0.4,0.6,0.4,0.1,0.0,0.1,0.4,1.3,
511.0,Sidy Cissoko,20.0,POR,SF,3.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,0.0,
512.0,Colby Jones,22.0,SAC,SG,24.0,0.0,5.4,0.5,1.1,0.423,0.2,0.4,0.4,0.3,0.7,0.438,0.5,0.0,0.0,,0.3,0.6,1.0,0.3,0.3,0.3,0.3,0.5,1.1,
513.0,Trey Alexander,21.0,DEN,SG,18.0,0.0,4.4,0.4,1.3,0.292,0.1,0.6,0.2,0.3,0.8,0.357,0.333,0.1,0.1,1.0,0.0,0.5,0.5,0.4,0.1,0.1,0.2,0.4,1.0,
514.0,Yuri Collins,23.0,GSW,PG,2.0,0.0,8.0,0.5,1.5,0.333,0.0,0.0,,0.5,1.5,0.333,0.333,0.0,0.0,,1.0,0.5,1.5,2.0,1.0,0.0,0.0,2.5,1.0,
515.0,PJ Hall,22.0,DEN,C,15.0,0.0,3.1,0.4,0.9,0.429,0.0,0.3,0.0,0.4,0.6,0.667,0.429,0.2,0.3,0.75,0.3,0.8,1.1,0.2,0.0,0.1,0.1,0.4,1.0,
516.0,Xavier Tillman Sr.,26.0,BOS,C,29.0,1.0,7.1,0.4,1.6,0.261,0.2,0.9,0.185,0.2,0.7,0.368,0.315,0.0,0.1,0.5,0.3,1.0,1.3,0.2,0.3,0.2,0.4,0.6,1.0,
517.0,Emoni Bates,21.0,CLE,SF,7.0,0.0,3.9,0.3,2.0,0.143,0.3,1.6,0.182,0.0,0.4,0.0,0.214,0.0,0.0,,0.0,0.0,0.0,0.6,0.1,0.0,0.0,0.3,0.9,
518.0,RayJ Dennis,23.0,IND,PG,8.0,0.0,2.9,0.3,1.3,0.2,0.1,0.9,0.143,0.1,0.4,0.333,0.25,0.3,0.3,1.0,0.3,0.5,0.8,0.6,0.4,0.0,0.5,0.4,0.9,
519.0,Luke Travers,23.0,CLE,SG,9.0,0.0,6.1,0.3,1.2,0.273,0.0,0.4,0.0,0.3,0.8,0.429,0.273,0.2,0.2,1.0,0.6,0.8,1.3,0.6,0.1,0.1,0.6,0.4,0.9,
520.0,Maxwell Lewis,22.0,2TM,SF,13.0,0.0,3.9,0.3,1.0,0.308,0.2,0.3,0.5,0.2,0.7,0.222,0.385,0.0,0.0,,0.2,0.5,0.8,0.2,0.1,0.0,0.2,0.2,0.8,
520.0,Maxwell Lewis,22.0,LAL,SF,7.0,0.0,4.1,0.3,0.9,0.333,0.0,0.0,,0.3,0.9,0.333,0.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6,
520.0,Maxwell Lewis,22.0,BRK,SF,6.0,0.0,3.7,0.3,1.2,0.286,0.3,0.7,0.5,0.0,0.5,0.0,0.429,0.0,0.0,,0.2,1.2,1.3,0.2,0.0,0.0,0.2,0.3,1.0,
521.0,Jalen Bridges,23.0,PHO,SF,5.0,0.0,5.0,0.2,0.8,0.25,0.2,0.8,0.25,0.0,0.0,,0.375,0.2,0.4,0.5,0.0,0.6,0.6,0.0,0.0,0.0,0.8,0.0,0.8,
522.0,D.J. Carton,24.0,TOR,SG,4.0,0.0,8.3,0.3,1.8,0.143,0.0,0.8,0.0,0.3,1.0,0.25,0.143,0.3,0.3,1.0,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,
523.0,Josh Christopher,23.0,MIA,SG,8.0,0.0,3.5,0.3,0.9,0.286,0.0,0.1,0.0,0.3,0.8,0.333,0.286,0.3,0.5,0.5,0.0,0.4,0.4,0.5,0.0,0.1,0.5,0.1,0.8,
524.0,PJ Dozier,28.0,MIN,SG,9.0,0.0,3.9,0.2,0.3,0.667,0.2,0.3,0.667,0.0,0.0,,1.0,0.1,0.7,0.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
525.0,Joe Ingles,37.0,MIN,SF,18.0,0.0,6.0,0.3,1.1,0.3,0.2,0.7,0.231,0.2,0.4,0.429,0.375,0.0,0.0,,0.1,0.5,0.6,1.2,0.1,0.0,0.4,0.6,0.8,
526.0,Ulrich Chomche,19.0,TOR,PF,7.0,0.0,4.6,0.3,0.7,0.4,0.0,0.0,,0.3,0.7,0.4,0.4,0.1,0.3,0.5,0.6,0.6,1.1,0.3,0.0,0.1,0.3,0.7,0.7,
527.0,James Johnson,37.0,IND,PF,12.0,0.0,3.1,0.3,0.9,0.364,0.0,0.3,0.0,0.3,0.7,0.5,0.364,0.0,0.1,0.0,0.0,0.5,0.5,0.3,0.0,0.2,0.3,0.4,0.7,
528.0,Liam Robbins,25.0,MIL,C,13.0,0.0,4.4,0.2,0.6,0.25,0.0,0.2,0.0,0.2,0.5,0.333,0.25,0.4,0.8,0.5,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,
529.0,Cui Yongxi,21.0,BRK,SG,5.0,0.0,2.0,0.2,1.4,0.143,0.0,0.6,0.0,0.2,0.8,0.25,0.143,0.2,0.4,0.5,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,
530.0,Garrett Temple,38.0,TOR,SG,19.0,0.0,4.4,0.2,0.9,0.167,0.1,0.5,0.111,0.1,0.5,0.222,0.194,0.2,0.2,1.0,0.2,0.5,0.7,0.7,0.4,0.1,0.2,0.5,0.6,
531.0,Stanley Umude,25.0,MIL,SG,20.0,0.0,3.3,0.2,1.2,0.174,0.1,0.7,0.154,0.1,0.5,0.2,0.217,0.1,0.2,0.5,0.2,0.6,0.8,0.2,0.2,0.2,0.1,0.3,0.6,
532.0,Tristen Newton,23.0,2TM,SG,8.0,0.0,2.0,0.1,1.0,0.125,0.0,0.4,0.0,0.1,0.6,0.2,0.125,0.1,0.1,1.0,0.3,0.3,0.5,0.3,0.1,0.0,0.3,0.5,0.4,
532.0,Tristen Newton,23.0,IND,SG,5.0,0.0,1.6,0.2,1.2,0.167,0.0,0.6,0.0,0.2,0.6,0.333,0.167,0.2,0.2,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6,
532.0,Tristen Newton,23.0,MIN,SG,3.0,0.0,2.7,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.0,0.0,,0.7,0.7,1.3,0.3,0.3,0.0,0.3,0.7,0.0,
533.0,Spencer Jones,23.0,DEN,SF,13.0,0.0,2.7,0.2,0.8,0.2,0.1,0.5,0.143,0.1,0.2,0.333,0.25,0.0,0.0,,0.2,0.3,0.5,0.0,0.2,0.0,0.2,0.4,0.4,
534.0,Jacob Toppin,24.0,NYK,SF,16.0,0.0,3.1,0.2,0.6,0.3,0.0,0.1,0.0,0.2,0.5,0.375,0.3,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.0,0.1,0.2,0.4,
535.0,Malevy Leons,25.0,OKC,SF,6.0,0.0,3.5,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.3,0.7,0.5,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,
536.0,Daishen Nix,22.0,MIN,PG,3.0,0.0,4.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.7,0.5,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
537.0,Jesse Edwards,24.0,MIN,C,2.0,0.0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,
538.0,Harrison Ingram,22.0,SAS,SF,2.0,0.0,5.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,
539.0,Daniss Jenkins,23.0,DET,PG,5.0,0.0,2.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,
540.0,Bobi Klintman,21.0,DET,SF,6.0,0.0,2.8,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.7,0.7,0.2,0.0,0.2,0.2,0.3,0.0,
541.0,Mac McClung,26.0,ORL,SG,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
542.0,Jalen McDaniels,27.0,WAS,SF,4.0,0.0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,
543.0,Emanuel Miller,24.0,CHI,PF,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
544.0,Justin Minaya,25.0,POR,SF,7.0,0.0,2.7,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0.3,0.1,0.4,0.3,0.1,0.0,0.0,0.4,0.0,
545.0,Riley Minix,24.0,SAS,SF,1.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
546.0,Miles Norris,24.0,BOS,PF,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
547.0,Jahlil Okafor,29.0,IND,C,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
548.0,Chuma Okeke,26.0,PHI,PF,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
549.0,Zyon Pullin,23.0,MEM,SG,3.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
550.0,Cole Swider,25.0,DET,SF,2.0,0.0,6.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,
551.0,Anton Watson,24.0,NYK,SF,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,
552.0,Jahmir Young,24.0,CHI,PG,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
,League Average,,,,,,,,,0.466,,,0.358,,,0.544,0.541,,,0.781,,,,,,,,,,
